,number,value,datetime_start,datetime_complete,duration,params_boosting,params_feature_fraction,params_learning_rate,params_num_leaves,params_other_rate,params_top_rate,user_attrs_test_error,user_attrs_train_error,user_attrs_uuid,state
806,806,0.3535528596187175,2021-10-14 15:36:22.657379,2021-10-14 15:36:23.122478,0 days 00:00:00.465099,goss,0.12363939039513745,0.01693057125941661,669,0.07807810372609353,0.7374441375053257,0.3535528596187175,0.3414869029275809,a885c151-1a16-4888-9fbe-9249b214fc49,COMPLETE
807,807,0.3535528596187175,2021-10-14 15:36:23.126481,2021-10-14 15:36:23.636883,0 days 00:00:00.510402,goss,0.09526185210961503,0.013245075690768028,692,0.12685759309408373,0.7427140549884664,0.3535528596187175,0.3414869029275809,90dfdb2c-aaa9-41a4-96b7-1492e08e75ed,COMPLETE
808,808,0.3535528596187175,2021-10-14 15:36:23.641885,2021-10-14 15:36:24.141877,0 days 00:00:00.499992,goss,0.11487428392827093,0.01803628454529772,703,0.07767204534258576,0.6825409007350313,0.3535528596187175,0.3414869029275809,ff31f808-1db7-47fe-937c-4a6632f52883,COMPLETE
809,809,0.3535528596187175,2021-10-14 15:36:24.144879,2021-10-14 15:36:24.694504,0 days 00:00:00.549625,goss,0.1190218115545514,0.022574042647207467,668,0.02453867006731994,0.6975425303287214,0.3535528596187175,0.3414869029275809,810f596e-ff1e-4c1e-bab5-4dec21a47f23,COMPLETE
810,810,0.3535528596187175,2021-10-14 15:36:24.697503,2021-10-14 15:36:25.116219,0 days 00:00:00.418716,goss,0.09406133426318423,0.018703934471083747,800,0.12288156225226479,0.7324066572356687,0.3535528596187175,0.3414869029275809,e7b4e3bd-612f-4e2c-850a-b0507e1e7187,COMPLETE
811,811,0.3535528596187175,2021-10-14 15:36:25.119211,2021-10-14 15:36:25.574210,0 days 00:00:00.454999,goss,0.13084222852225103,0.01616820463688279,795,0.2006661055804738,0.7676956990861715,0.3535528596187175,0.3414869029275809,b910475f-9127-4238-9b06-42e35029a556,COMPLETE
812,812,0.3535528596187175,2021-10-14 15:36:25.579209,2021-10-14 15:36:26.101664,0 days 00:00:00.522455,goss,0.11295104149584728,0.022705865638954416,796,0.2468014072720428,0.7209317383993185,0.3535528596187175,0.3414869029275809,d9c89679-d32f-445f-a37c-58fc5dd3dec6,COMPLETE
813,813,0.3535528596187175,2021-10-14 15:36:26.104672,2021-10-14 15:36:26.674619,0 days 00:00:00.569947,goss,0.12377697321925211,0.015504121616975564,812,0.13757139778928865,0.674878720312921,0.3535528596187175,0.3414869029275809,1e44bc84-5a84-4b23-98ee-59687e21d553,COMPLETE
814,814,0.3535528596187175,2021-10-14 15:36:26.677619,2021-10-14 15:36:27.219622,0 days 00:00:00.542003,goss,0.03990703577416067,0.018463834804174573,765,0.2889260622092429,0.7030360077374138,0.3535528596187175,0.3414869029275809,4b83a7e1-9751-4b88-bbfb-259110ff93bc,COMPLETE
815,815,0.3535528596187175,2021-10-14 15:36:27.222618,2021-10-14 15:36:27.679186,0 days 00:00:00.456568,goss,0.09721186278417182,0.013686956555545698,660,0.1120648752969177,0.8123315211893912,0.3535528596187175,0.3414869029275809,b7b966c6-07c0-4a37-87ff-14625ce747c0,COMPLETE
816,816,0.3535528596187175,2021-10-14 15:36:27.682185,2021-10-14 15:36:28.087185,0 days 00:00:00.405000,goss,0.1344344360386576,0.017172455615805948,667,0.14839727920389845,0.6755963874292333,0.3535528596187175,0.3414869029275809,788705ea-0ad4-43a9-a63c-707838e336ac,COMPLETE
817,817,0.3535528596187175,2021-10-14 15:36:28.091184,2021-10-14 15:36:28.522182,0 days 00:00:00.430998,goss,0.13514498393796615,0.02327823250559984,659,0.24305700256320265,0.7517765106712232,0.3535528596187175,0.3414869029275809,6a56bc8d-c8b9-42b3-b52d-772c5412d205,COMPLETE
