Date,Price,Open,High,Low,Vol.,Change %
2020-04-26,15.365,15.35,15.39,15.29,-,-1.63%
2020-04-24,15.62,15.88,15.885,15.88,0.01K,-0.52%
2020-04-23,15.701,15.638,15.638,15.638,0.03K,0.13%
2020-04-22,15.68,15.617,15.617,15.617,15.04K,3.46%
2020-04-21,15.155,15.14,15.14,15.025,0.00K,-4.76%
2020-04-20,15.913,15.42,15.93,15.42,0.00K,4.38%
2020-04-19,15.245,15.29,15.355,15.235,-,-2.45%
2020-04-17,15.628,15.755,15.755,15.54,0.06K,-2.20%
2020-04-16,15.979,15.905,15.93,15.875,0.01K,0.69%
2020-04-15,15.869,15.865,15.865,15.84,0.01K,-4.20%
2020-04-14,16.564,16.47,16.47,16.47,0.03K,3.62%
2020-04-13,15.985,15.675,15.795,15.675,0.01K,1.40%
2020-04-12,15.765,15.865,15.973,15.732,-,-0.94%
2020-04-10,15.915,15.915,15.915,15.915,-,-3.59%
2020-04-09,16.507,16.444,16.444,16.444,0.00K,6.11%
2020-04-08,15.557,15.494,15.494,15.494,0.15K,-1.23%
2020-04-07,15.75,15.8,15.8,15.69,0.17K,2.29%
2020-04-06,15.398,15.015,15.015,15.015,0.00K,5.97%
2020-04-05,14.53,14.5,14.57,14.357,-,-1.47%
2020-04-03,14.747,14.684,14.684,14.684,0.43K,-1.20%
2020-04-02,14.926,14.863,14.863,14.863,0.15K,4.91%
2020-04-01,14.227,14.164,14.164,14.164,5.53K,-1.16%
2020-03-31,14.394,14.331,14.331,14.331,0.01K,0.06%
2020-03-30,14.385,14.322,14.322,14.322,6.31K,-1.15%
2020-03-29,14.553,14.565,14.71,14.473,-,-1.42%
2020-03-27,14.763,14.71,14.71,14.71,0.00K,-0.51%
2020-03-26,14.838,14.775,14.775,14.775,4.26K,-1.15%
2020-03-25,15.01,14.5,14.5,14.5,0.00K,3.99%
2020-03-24,14.434,13.625,13.625,13.625,0.00K,7.00%
2020-03-23,13.49,12.78,12.78,12.635,0.01K,8.48%
2020-03-22,12.435,12.643,12.662,12.29,-,-1.20%
2020-03-20,12.586,12.8,12.8,12.8,0.03K,1.93%
2020-03-19,12.348,12.37,12.37,12.085,0.00K,3.09%
2020-03-18,11.978,12.48,12.485,12.21,0.03K,-5.71%
2020-03-17,12.703,12.64,12.64,12.64,0.00K,-2.44%
2020-03-16,13.021,12.335,12.89,12.335,0.00K,-11.90%
2020-03-15,14.78,14.655,15.245,14.655,-,0.40%
2020-03-13,14.721,15.375,15.4,15.375,0.01K,-9.39%
2020-03-12,16.247,16.184,16.184,16.184,0.00K,-4.60%
2020-03-11,17.031,16.945,16.965,16.905,0.02K,-1.10%
2020-03-10,17.221,17.13,17.13,17.13,0.00K,-0.61%
2020-03-09,17.326,17.815,17.815,17.815,0.00K,-0.95%
2020-03-08,17.492,17.343,17.6,17.343,-,-0.54%
2020-03-06,17.587,17.415,17.415,17.415,0.00K,-0.89%
2020-03-05,17.745,17.663,17.663,17.663,3.00K,0.72%
2020-03-04,17.619,17.532,17.532,17.532,0.00K,0.20%
2020-03-03,17.584,17.497,17.497,17.497,5.60K,2.51%
2020-03-02,17.153,17.06,17.06,17.06,0.00K,3.55%
2020-03-01,16.565,16.625,16.71,16.445,-,-2.01%
2020-02-28,16.904,17.685,17.685,17.685,0.00K,-7.17%
2020-02-27,18.209,18.375,18.375,18.375,0.00K,-0.96%
2020-02-26,18.385,18.35,18.43,18.35,0.02K,-1.90%
2020-02-25,18.742,18.649,18.649,18.649,14.01K,-3.55%
2020-02-24,19.432,19.339,19.339,19.339,5.31K,4.20%
2020-02-23,18.648,18.457,18.793,18.457,-,-2.29%
2020-02-21,19.086,18.993,18.993,18.993,1.87K,1.10%
2020-02-20,18.878,18.785,18.785,18.785,4.22K,0.05%
2020-02-19,18.869,18.725,18.865,18.725,0.03K,0.88%
2020-02-18,18.704,18.611,18.611,18.611,3.16K,5.15%
2020-02-17,17.788,17.712,17.863,17.703,-,0.40%
2020-02-16,17.718,17.773,17.785,17.67,-,-3.10%
2020-02-14,18.285,18.192,18.192,18.192,1.38K,0.61%
2020-02-13,18.174,18.081,18.081,18.081,2.00K,0.68%
2020-02-12,18.051,17.958,17.958,17.958,1.84K,-0.55%
2020-02-11,18.15,18.057,18.057,18.057,2.71K,-1.06%
2020-02-10,18.344,18.251,18.251,18.251,2.27K,3.48%
2020-02-09,17.727,17.683,17.762,17.67,-,-2.88%
2020-02-07,18.252,18.159,18.159,18.159,2.85K,-0.71%
2020-02-06,18.382,18.289,18.289,18.289,1.01K,1.19%
2020-02-05,18.165,18.074,18.074,18.074,0.82K,0.30%
2020-02-04,18.111,18.025,18.025,18.025,0.81K,-0.59%
2020-02-03,18.218,18.58,18.58,18.115,0.00K,0.84%
2020-02-02,18.067,18.115,18.117,18.02,-,-2.65%
2020-01-31,18.558,18.472,18.472,18.472,1.05K,0.09%
2020-01-30,18.542,18.456,18.456,18.456,1.01K,2.78%
2020-01-29,18.041,17.955,17.955,17.955,0.69K,0.16%
2020-01-28,18.012,18.07,18.07,18.07,0.00K,-3.21%
2020-01-27,18.61,18.524,18.524,18.524,0.65K,2.15%
2020-01-26,18.218,18.115,18.37,18.115,-,-2.43%
2020-01-24,18.672,18.586,18.586,18.586,1.03K,1.54%
2020-01-23,18.389,18.303,18.303,18.303,0.40K,0.01%
2020-01-22,18.388,18.302,18.302,18.302,1.50K,0.10%
2020-01-21,18.369,18.283,18.283,18.283,0.81K,1.64%
2020-01-20,18.073,18.045,18.133,18.003,-,0.17%
2020-01-19,18.043,18.032,18.06,18.027,-,-3.20%
2020-01-17,18.64,18.554,18.554,18.554,0.59K,0.72%
2020-01-16,18.507,18.421,18.421,18.421,0.22K,-0.26%
2020-01-15,18.556,18.47,18.47,18.47,1.01K,1.34%
2020-01-14,18.31,18.224,18.224,18.224,2.36K,-1.41%
2020-01-13,18.572,18.486,18.486,18.486,1.72K,2.73%
2020-01-12,18.078,18.135,18.15,18.052,-,-3.22%
2020-01-10,18.679,18.593,18.593,18.593,2.86K,0.93%
2020-01-09,18.507,18.421,18.421,18.421,2.27K,-1.23%
2020-01-08,18.737,18.651,18.651,18.651,2.27K,-1.19%
2020-01-07,18.962,18.876,18.876,18.876,1.85K,1.14%
2020-01-06,18.748,18.662,18.662,18.662,4.18K,2.94%
2020-01-05,18.212,18.098,18.343,18.098,-,-2.71%
2020-01-03,18.719,18.633,18.633,18.633,1.42K,0.55%
2020-01-02,18.616,18.53,18.53,18.53,0.73K,3.78%
2020-01-01,17.938,17.913,18.0,17.913,-,-2.99%
2019-12-31,18.49,18.404,18.404,18.404,0.77K,-0.43%
2019-12-30,18.57,18.484,18.484,18.484,0.27K,3.87%
2019-12-29,17.878,17.835,17.887,17.835,-,-3.39%
